商品名称,价格,运费,销量,位置,链接
大龙D随身锅自热小火锅懒人即食方便速食网红麻辣火锅荤素四盒装,128,0,389,四川 成都,https://detail.tmall.com/item.htm?id=556180190333&ns=1&abbucket=9&on_comment=1
海底捞自煮小火锅5盒方便懒人即食速食品自热网红自助一箱5人份,119,0,3880,安徽 合肥,https://detail.tmall.com/item.htm?id=582489578994&ns=1&abbucket=9&on_comment=1
海底捞自煮小火锅速食即食品5盒方便懒人自热网红自助一箱5人份,119,0,758,北京,https://detail.tmall.com/item.htm?id=602180249175&ns=1&abbucket=9&on_comment=1
小龙坎自热小火锅荤素搭配四盒装网红懒人自煮自助方便即食经典装,108.8,0,952,四川 成都,https://detail.tmall.com/item.htm?id=600863025595&ns=1&abbucket=9&on_comment=1
海底捞自煮火锅4盒一整箱礼盒装正品速食网红懒人自助自热小火锅,95.6,0,139,上海,https://detail.tmall.com/item.htm?id=601714312546&ns=1&abbucket=9&on_comment=1
海底捞自热小火锅4盒礼盒装一箱的网红速食自煮自助懒人火锅便携,95.2,0,818,上海,https://detail.tmall.com/item.htm?id=594911009978&ns=1&abbucket=9&on_comment=1
懒人火锅一箱小火锅速食网红自助套装荤菜版自热制热自然自燃有肉,79.8,0,279,四川 成都,https://detail.tmall.com/item.htm?id=569271724075&ns=1&abbucket=9&on_comment=1
德庄牛肉自热小火锅自热食品510g*2自煮自助方便懒人速食荤菜版,78.8,0,1464,重庆,https://detail.tmall.com/item.htm?id=574282812859&ns=1&abbucket=9&on_comment=1
自嗨锅麻辣牛肉+微麻辣肥牛170g*2自热小火锅方便懒人小火锅即食,76.9,5,25000,上海,https://detail.tmall.com/item.htm?id=583894077058&ns=1&abbucket=9&on_comment=1
自嗨锅速食小火锅懒人自煮自助方便重庆火锅网红麻辣牛肉自热火锅,76.9,7,2836,上海,https://detail.tmall.com/item.htm?id=566879811846&ns=1&abbucket=9&on_comment=1
海底捞番茄自煮组合含牛腩懒人自煮火锅、小酥肉方便速食小火锅,76.9,0,819,天津,https://detail.tmall.com/item.htm?id=582406220229&ns=1&abbucket=9&on_comment=1
海底捞麻辣嫩牛懒人自煮自热小火锅 方便速食即食火锅2盒装荤菜版,76.9,0,1355,天津,https://detail.tmall.com/item.htm?id=563747266470&ns=1&abbucket=9&on_comment=1
【海底捞】2盒番茄牛腩自煮火锅牛肉自热方便即食懒人速食小火锅,69.9,5,6000,上海,https://detail.tmall.com/item.htm?id=563800169290&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=9&on_comment=1
【直播中特惠】海底捞2盒麻辣嫩牛肉自热方便懒人小火锅自煮火锅,69.9,5,10000,上海,https://detail.tmall.com/item.htm?id=563801181215&ns=1&abbucket=9&on_comment=1
重庆牧哥自热网红麻辣烫便携方便即食自助懒人小火锅荤素五盒装,69.9,0,2824,重庆,https://detail.tmall.com/item.htm?id=595938593594&ns=1&abbucket=9&on_comment=1
德庄椒吱自热小火锅方便速食懒人即食钵钵鸡自助自煮烧烤麻辣网红,59.9,0,10000,四川 绵阳,https://detail.tmall.com/item.htm?id=564981957171&ns=1&abbucket=9&on_comment=1
【三只松鼠_方便速食大礼包4袋装/843g】休闲零食小吃自热小火锅,59.9,5,46,安徽 芜湖,https://detail.tmall.com/item.htm?id=604147961879&ns=1&abbucket=9&on_comment=1
网红麻辣牛肉牛杂自热火锅荤菜懒人小火锅自煮助便携即食速食4盒,59.8,0,1336,重庆,https://detail.tmall.com/item.htm?id=591557714814&ns=1&abbucket=9&on_comment=1
筷时尚方便火锅速食懒人麻辣自热自煮自助网红便携小火锅荤菜版嗨,58.8,0,5500,四川 成都,https://detail.tmall.com/item.htm?id=570973980459&ns=1&abbucket=9&on_comment=1
德庄自热小火锅自热食品自煮速食懒人小火锅自助即食方便火锅,58.8,0,808,重庆,https://detail.tmall.com/item.htm?id=574557898661&ns=1&abbucket=9&on_comment=1
小肥羊自热火锅组合香辣羊肉懒人速食即食自煮小火锅自助方便食品,54.5,0,256,上海,https://detail.tmall.com/item.htm?id=602927119990&ns=1&abbucket=9&on_comment=1
莫小仙懒人自热小火锅5盒装即食自助学生方便速食品5人份套餐一箱,49.9,0,1162,安徽 合肥,https://detail.tmall.com/item.htm?id=587371650267&ns=1&abbucket=9&on_comment=1
莫小仙重庆麻辣22度辣自热小火锅5盒方便懒人速食冒菜麻辣烫自助,49.5,0,3849,广东 深圳,https://detail.tmall.com/item.htm?id=594306221909&ns=1&abbucket=9&on_comment=1
海底捞自煮火锅自热小火锅2盒懒人速食网红即食自助方便便携一箱,47.6,0,25000,北京,https://detail.tmall.com/item.htm?id=559704922106&ns=1&abbucket=9&on_comment=1
海底捞自煮小火锅2盒 火锅速食 懒人火锅 自热网红麻辣嫩牛便携锅,47.6,0,1001,上海,https://detail.tmall.com/item.htm?id=575431437372&ns=1&abbucket=9&on_comment=1
满减【三只松鼠_素食小锅锅350g/盒】自热小火锅懒人自助方便速食,41.9,0,3382,安徽 芜湖,https://detail.tmall.com/item.htm?id=605922294089&ns=1&abbucket=9&on_comment=1
满减【百草味-自热小火锅】懒人火锅速食网红自助麻辣烫即食,41.7,5,4789,浙江 杭州,https://detail.tmall.com/item.htm?id=585628460316&ns=1&abbucket=9&on_comment=1
椒吱自热小火锅懒人即食土豆粉酸辣粉自煮自助螺蛳粉网红速食火锅,39.9,0,3946,四川 绵阳,https://detail.tmall.com/item.htm?id=582683205171&ns=1&abbucket=9&on_comment=1
网红莫小仙自热小火锅4盒 自煮懒人火锅速食一箱荤菜版麻辣烫自助,39.6,0,30000,北京,https://detail.tmall.com/item.htm?id=574482987387&ns=1&abbucket=9&on_comment=1
网红莫小仙自热火锅4盒 麻辣牛肉自煮懒人小火锅荤菜版麻辣烫冒菜,38.8,0,2525,广东 深圳,https://detail.tmall.com/item.htm?id=583433305113&ns=1&abbucket=9&on_comment=1
【直播中特惠】海底捞番茄牛腩自煮火锅方便自懒人速食小火锅,36.9,5,10000,上海,https://detail.tmall.com/item.htm?id=560974739310&ns=1&abbucket=9&on_comment=1
【海底捞】麻辣嫩牛自煮火锅自热方便懒人即食速食小火锅网红食品,36.9,5,20000,上海,https://detail.tmall.com/item.htm?id=560811205963&ns=1&abbucket=9&on_comment=1
自热小火锅自助自煮懒人即食速食网红重庆火锅4盒套装荤菜版一箱,36.8,0,10000,重庆,https://detail.tmall.com/item.htm?id=572764520725&ns=1&abbucket=9&on_comment=1
大龙D随身锅肉多多自煮方便即食火锅懒人速食网红自热小火锅,36.8,0,1779,四川 成都,https://detail.tmall.com/item.htm?id=556117795025&ns=1&abbucket=9&on_comment=1
蜀欢自热小火锅4盒 自助自煮即食懒人火锅速食网红食品特价一箱,35.9,0,5000,四川 成都,https://detail.tmall.com/item.htm?id=599744783466&ns=1&abbucket=9&on_comment=1
莫小仙网红重庆麻辣+牛肉即食速食懒人方便携自助热煮小火锅2盒装,35.8,0,2022,四川 成都,https://detail.tmall.com/item.htm?id=572666951788&ns=1&abbucket=9&on_comment=1
【百草味-麻辣牛肉火锅470g】自热小火锅速食懒人网红自助,34.9,0,2560,浙江 杭州,https://detail.tmall.com/item.htm?id=593843205069&ns=1&abbucket=9&on_comment=1
重庆莫小仙自热小火锅3盒 懒人自煮冷水自助网红素食微火锅麻辣烫,29.9,0,9000,广东 深圳,https://detail.tmall.com/item.htm?id=564042907390&ns=1&abbucket=9&on_comment=1
小龙坎自热小火锅速食网红懒人加热自助自煮方便即食速热荤菜版,29.8,0,10000,四川 成都,https://detail.tmall.com/item.htm?id=599427570391&ns=1&abbucket=9&on_comment=1
小龙坎方便即食自热小火锅沸物麻辣午餐肉自助自加热荤素搭配,29.8,0,5,河南 洛阳,https://detail.tmall.com/item.htm?id=606322443504&ns=1&abbucket=9&on_comment=1
椒吱自热小火锅 懒人自助自煮即食速食方便,24.8,0,10000,四川 绵阳,https://click.simba.taobao.com/cc_im?p=%D7%D4%C8%C8%D0%A1%BB%F0%B9%F8&s=1316171750&k=705&e=GOTHjPnQaFhuOMV00PGmi0xkkLj2Bvhb7CQWCfc6CDdG7bOLRANyrxvJCw8T189dVOfDCfOq%2BQa4EaAciOwkBX8JsGHOgS0WhPqGA3CaYGLU4TMWKGZt2JA7HtxI4%2BL66WVG4RB3Sw6WSIBLnhawZbrd7fZUZd41ZGgibLFRwiUgFIR3plkH9F19cGJXADp4eWwVQNDhPxt3Dzugu8WV%2B6Wt96avVlcEIrUAp%2Bts2%2F4zEtS4ADQ%2BKZAorsEGRXef5M4b4lTnLMaI5MNqACTXdojy2jCki0jwBMlbRXD4G3rtRzeOz550XlaC2dalmbE0XIFzUsQNZhIRizs9puD4H69dn83CPG%2BFmYmMtCtxtalWk1hCk46tO3J%2FKwIKmDoLRhCJgHIGHCPSCdB6s8oJlqCwogyJhHFJYtd1L6MXDC3Vqhs2vdqNwJcEUhqzeaaGWy2PNuRvqYqMgNIISm%2Frisn7aMLUFZhYHqgG3Zc5H28xD0PgqgYwCq8YxcBs7WtSuQRxhQNmpjAbFxUaV5D9H3Qdb7EXIksPlNBBAvwPh12UT5IVbA1NpobabZCwD%2BoV1ZSc%2B4J5rChbLY825G%2BpimPZq2Y80GRQbFOiKdfe8xSknqLpoI1cMB8jhL1NqAgSqBmcAT%2BeTJoEgedWuOWCeUj6Pf5%2FV3oLsAlni2z%2FhvCrb1PCHL0C2Rsw9w3uivCr&on_comment=1
海底捞自煮自热懒人小火锅自助网红方便即食速食学生重庆麻辣荤菜,23.8,0,3689,上海,https://detail.tmall.com/item.htm?id=564054155853&ns=1&abbucket=9&on_comment=1
海底捞自煮自热小火锅懒人即食自助方便网红自热速食品荤菜素菜版,23.8,0,10000,浙江 金华,https://detail.tmall.com/item.htm?id=599274830412&ns=1&abbucket=9&on_comment=1
海底捞自煮自热小火锅2盒装嫩牛肉荤素多口味选懒人即食方便速食,23.8,0,2834,上海,https://detail.tmall.com/item.htm?id=605887582359&ns=1&abbucket=9&on_comment=1
莫小仙网红22°辣牛油重庆麻辣火锅即食懒人方便携自热自煮小火锅,19.9,0,100000,四川 成都,https://detail.tmall.com/item.htm?id=572666163934&ns=1&abbucket=9&on_comment=1
自嗨锅 煲仔饭自热米饭自热小火锅方便速食自热火锅米饭懒人食品,16.8,7,8000,上海,https://detail.tmall.com/item.htm?id=593629893077&ns=1&abbucket=9&on_comment=1
重庆凰巢自热小火锅自助速食网红懒人自煮火锅麻辣烫5盒 素菜版,12.3,0,8500,重庆,https://detail.tmall.com/item.htm?id=571105460843&ns=1&abbucket=9&on_comment=1
酸辣粉桶装嗨吃家泡面自热小火锅方便面整箱装火鸡面螺蛳粉丝米线,9.9,0,300000,河南 洛阳,https://detail.tmall.com/item.htm?id=584838700791&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=9&on_comment=1
